	dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
Sample-2-81m-716-516-Medela	71657	37293	36990	37044	36088	28986	40.5
Sample-2-82-727-501-Medela	38456	15961	15768	15773	14817	11569	30.1
Sample-3-1-721-502-Medela	6726	3397	2135	2510	1401	939	14
Sample-3-10m-719-517-Medela	16785	7965	7670	7841	7447	6437	38.3
Sample-3-123-718-518-Medela	55791	35561	35406	35479	35198	26326	47.2
Sample-3-126-718-520-Medela	22875	11041	10777	10817	9731	7251	31.7
Sample-3-139m-719-518-Medela	104686	58586	58273	58412	57055	42196	40.3
Sample-3-145-718-521-Medela	68874	39582	39173	39260	37033	26071	37.9
Sample-3-148-718-522-Medela	17636	7868	7622	7672	6613	4317	24.5
Sample-3-14m-720-520-Medela	87219	39411	38878	39013	35963	20927	24
Sample-3-150-721-521-Medela	68172	42908	42808	42727	41832	27601	40.5
Sample-3-157-719-515-Medela	75607	37354	37155	37120	36525	28793	38.1
Sample-3-15m-719-520-Medela	84851	42121	41956	41978	41136	32336	38.1
Sample-3-161-719-516-Medela	15820	8285	8119	8090	6921	4399	27.8
Sample-3-176m-720-521-Medela	20626	10016	9757	9845	9208	7298	35.4
Sample-3-19-701-503-Medela	13590	7899	7678	7715	6976	5567	41
Sample-3-25m-720-522-Medela	26956	14180	14011	14143	13947	10634	39.4
Sample-3-32-721-518-Medela	26415	13756	13556	13621	13046	8485	32.1
Sample-3-40m-719-521-Medela	70339	33973	33723	33768	33354	25874	36.8
Sample-3-42-716-521-Medela	46884	23900	23460	23607	22053	14284	30.5
Sample-3-43m-721-522-Medela	76738	43199	42915	42939	41656	34026	44.3
Sample-3-45-716-522-Medela	21118	10873	10609	10685	9995	7292	34.5
Sample-3-47m-719-522-Medela	58218	27638	27444	27398	26799	21044	36.1
Sample-3-6m-720-513-Medela	57445	26521	26354	26360	25997	19396	33.8
Sample-3-7-701-501-Medela	4873	2434	2304	2317	2058	1889	38.8
Sample-3-74-721-520-Medela	81837	50024	49729	49764	48078	36462	44.6
